,Average account balance,TN debtor transactions,TN creditor transactions,TN transactions,average debtor transaction,average creditor transaction,DBNCD,DFACD,Label
5540,0.365143519866496,6.621458479768909e-07,2.4887550837752105e-07,9.110213563544119e-07,0.2962953915206946,0.7543587857873288,-4.1327033959936984e-07,0.4580633942666342,0
5541,0.3820804881413345,2.508944620597884e-07,8.363148735326279e-08,3.3452594941305116e-07,0.2601189577675476,0.7434605272592869,-1.6726297470652558e-07,0.48334156949173923,0
5542,0.9745266417396362,5.4933403536456564e-08,8.545196105671021e-08,1.4038536459316676e-07,0.1707783870789166,0.028161847367713114,3.051855752025364e-08,-0.1426165397112035,2
5543,0.2741156693500533,5.155106120003396e-09,5.155106120003396e-09,1.0310212240006791e-08,0.766427130164551,0.23532039242314354,0.0,-0.5311067377414075,1
5544,0.7174727737695378,1.5309472031466729e-07,3.0618944062933457e-07,4.5928416094400183e-07,0.5042206313176244,0.024212146151487427,1.5309472031466729e-07,-0.480008485166137,2
5545,0.2803558186801019,4.5223072184621587e-07,5.630888365400353e-08,5.085396055002194e-07,0.07742916694536875,0.7141432255551793,-3.9592183819221233e-07,0.6367140586098105,0
5546,0.9999111922217135,6.282385777381364e-09,6.282385777381364e-09,1.2564771554762728e-08,0.009423578666072047,0.009423578666072047,0.0,0.0,2
5547,0.8130241600963043,1.2213193254786737e-06,2.4528588963588427e-07,1.466605215114558e-06,0.0904128183903392,0.4493907721417815,-9.760334358427894e-07,0.3589779537514423,2
5548,0.9432770053485385,5.043205129267012e-07,3.203918552710808e-07,8.24712368197782e-07,0.13988907652568394,0.2710353891024682,-1.8392865765562045e-07,0.13114631257678427,2
5549,0.39431787346281527,1.5938893544686265e-06,2.1599435177378585e-07,1.8098837062424124e-06,0.09346073863366125,0.6914826667772884,-1.3778950026948407e-06,0.5980219281436272,0
5550,0.3116882688062612,1.197427088211265e-07,9.22607756490647e-08,2.1200348447019122e-07,0.6200790295260874,0.7138361336205237,-2.7481933172061825e-08,0.09375710409443622,1
